กรุงเทพมหานคร,32250
นนทบุรี,28051
ปทุมธานี,30547
สมุทรปราการ,26249
กาญจนบุรี,20705
จันทบุรี,29224
ฉะเชิงเทรา,22716
ชลบุรี,27382
ชัยนาท,20548
ตราด,21801
นครนายก,24129
นครปฐม,24368
ประจวบคีรีขันธ์,20153
ปราจีนบุรี,19324
พระนครศรีอยุธยา,26143
เพชรบุรี,21697
ระยอง,24888
ราชบุรี,26789
ลพบุรี,18327
สมุทรสงคราม,21685
สมุทรสาคร,20183
สระแก้ว,17302
สระบุรี,25369
สิงห์บุรี,23826
สุพรรณบุรี,17810
อ่างทอง,20128
กําพงเพชร,20343
เชียงราย,11346
เชียงใหม่,20169
ตาก,18186
นครสวรรค์,18288
น่าน,16599
พะเยา,12606
พิจิตร,19557
พิษณุโลก,18959
เพชรบูรณ์,22437
แพร่,16211
แม่ฮ่องสอน,12816
ลําปาง,15858
ลําพูน,19397
สุโขทัย,16959
อุตรดิตถ์,16346
อุทัยธานี,15888
กาฬสินธุ์,15676
ขอนแก่น,15092
ชัยภูมิ,20047
นครพนม,18945
นครราชสีมา,21204
บุรีรัมย์,17580
มหาสารคาม,17136
มุกดาหาร,17750
ยโสธร,17063
ร้อยเอ็ด,19153
เลย,20731
ศรีสะเกษ,14942
สกลนคร,15591
สุรินทร์,18886
หนองคาย,18671
หนองบัวลําภู,18127
อุดรธานี,17563
อุบลราชธานี,15349
อํานาจเจริญ,19625
บึงกาฬ,19690
กระบี่,26186
ชุมพร,23224
ตรัง,20030
นครศรีธรรมราช,23131
นราธิวาส,17175
ปัตตานี,17113
พังงา,23234
พัทลุง,18092
ภูเก็ต,34083
ยะลา,15326
ระนอง,19846
สงขลา,18178
สตูล,19316
สุราษฎร์ธานี,24641
